param_activation;param_hidden_layer_sizes;param_learning_rate;mean_test_score;rank_test_score
identity;1;adaptive;0.6646103896103895;277
identity;1;constant;0.6646103896103895;277
identity;1;invscaling;0.6646103896103895;277
identity;2;adaptive;0.6948051948051948;250
identity;2;constant;0.6948051948051948;250
identity;2;invscaling;0.6948051948051948;250
identity;3;adaptive;0.7025632262474368;229
identity;3;constant;0.7025632262474368;229
identity;3;invscaling;0.7025632262474368;229
identity;4;adaptive;0.694788106630212;253
identity;4;constant;0.694788106630212;253
identity;4;invscaling;0.694788106630212;253
identity;5;adaptive;0.7051606288448393;214
identity;5;constant;0.7051606288448393;214
identity;5;invscaling;0.7051606288448393;214
identity;6;adaptive;0.7183697881066302;148
identity;6;constant;0.7183697881066302;148
identity;6;invscaling;0.7183697881066302;148
identity;7;adaptive;0.7235475051264526;82
identity;7;constant;0.7235475051264526;82
identity;7;invscaling;0.7235475051264526;82
identity;8;adaptive;0.719583048530417;145
identity;8;constant;0.719583048530417;145
identity;8;invscaling;0.719583048530417;145
identity;9;adaptive;0.7209842788790157;103
identity;9;constant;0.7209842788790157;103
identity;9;invscaling;0.7209842788790157;103
identity;10;adaptive;0.7261961722488038;37
identity;10;constant;0.7261961722488038;37
identity;10;invscaling;0.7261961722488038;37
identity;11;adaptive;0.7169856459330143;157
identity;11;constant;0.7169856459330143;157
identity;11;invscaling;0.7169856459330143;157
identity;12;adaptive;0.7235987696514011;64
identity;12;constant;0.7235987696514011;64
identity;12;invscaling;0.7235987696514011;64
identity;13;adaptive;0.7209330143540671;118
identity;13;constant;0.7209330143540671;118
identity;13;invscaling;0.7209330143540671;118
identity;14;adaptive;0.7183356117566644;151
identity;14;constant;0.7183356117566644;151
identity;14;invscaling;0.7183356117566644;151
identity;15;adaptive;0.7301264524948736;16
identity;15;constant;0.7301264524948736;16
identity;15;invscaling;0.7301264524948736;16
identity;16;adaptive;0.7262132604237868;34
identity;16;constant;0.7262132604237868;34
identity;16;invscaling;0.7262132604237868;34
identity;17;adaptive;0.722282980177717;94
identity;17;constant;0.722282980177717;94
identity;17;invscaling;0.722282980177717;94
identity;18;adaptive;0.7196514012303485;136
identity;18;constant;0.7196514012303485;136
identity;18;invscaling;0.7196514012303485;136
identity;19;adaptive;0.7222658920027341;97
identity;19;constant;0.7222658920027341;97
identity;19;invscaling;0.7222658920027341;97
identity;20;adaptive;0.7196514012303487;133
identity;20;constant;0.7196514012303487;133
identity;20;invscaling;0.7196514012303487;133
identity;21;adaptive;0.7235645933014354;76
identity;21;constant;0.7235645933014354;76
identity;21;invscaling;0.7235645933014354;76
identity;22;adaptive;0.7196855775803145;130
identity;22;constant;0.7196855775803145;130
identity;22;invscaling;0.7196855775803145;130
identity;23;adaptive;0.7209671907040328;106
identity;23;constant;0.7209671907040328;106
identity;23;invscaling;0.7209671907040328;106
identity;24;adaptive;0.7261961722488037;40
identity;24;constant;0.7261961722488037;40
identity;24;invscaling;0.7261961722488037;40
identity;25;adaptive;0.7235987696514011;64
identity;25;constant;0.7235987696514011;64
identity;25;invscaling;0.7235987696514011;64
logistic;1;adaptive;0.6487867395762132;295
logistic;1;constant;0.6487867395762132;295
logistic;1;invscaling;0.6487867395762132;295
logistic;2;adaptive;0.6592788790157211;286
logistic;2;constant;0.6592788790157211;286
logistic;2;invscaling;0.6592788790157211;286
logistic;3;adaptive;0.6605775803144224;280
logistic;3;constant;0.6605775803144224;280
logistic;3;invscaling;0.6605775803144224;280
logistic;4;adaptive;0.6671565276828434;274
logistic;4;constant;0.6671565276828434;274
logistic;4;invscaling;0.6671565276828434;274
logistic;5;adaptive;0.6894395078605606;259
logistic;5;constant;0.6894395078605606;259
logistic;5;invscaling;0.6894395078605606;259
logistic;6;adaptive;0.6973000683527;244
logistic;6;constant;0.6973000683527;244
logistic;6;invscaling;0.6973000683527;244
logistic;7;adaptive;0.6828776486671224;265
logistic;7;constant;0.6828776486671224;265
logistic;7;invscaling;0.6828776486671224;265
logistic;8;adaptive;0.6815789473684212;268
logistic;8;constant;0.6815789473684212;268
logistic;8;invscaling;0.6815789473684212;268
logistic;9;adaptive;0.6959671907040328;247
logistic;9;constant;0.6959671907040328;247
logistic;9;invscaling;0.6959671907040328;247
logistic;10;adaptive;0.6999145591250854;238
logistic;10;constant;0.6999145591250854;238
logistic;10;invscaling;0.6999145591250854;238
logistic;11;adaptive;0.702529049897471;232
logistic;11;constant;0.702529049897471;232
logistic;11;invscaling;0.702529049897471;232
logistic;12;adaptive;0.7065105946684894;202
logistic;12;constant;0.7065105946684894;202
logistic;12;invscaling;0.7065105946684894;202
logistic;13;adaptive;0.7051606288448393;214
logistic;13;constant;0.7051606288448393;214
logistic;13;invscaling;0.7051606288448393;214
logistic;14;adaptive;0.6986329460013672;241
logistic;14;constant;0.6986329460013672;241
logistic;14;invscaling;0.6986329460013672;241
logistic;15;adaptive;0.7065105946684895;199
logistic;15;constant;0.7065105946684895;199
logistic;15;invscaling;0.7065105946684895;199
logistic;16;adaptive;0.7025803144224196;226
logistic;16;constant;0.7025803144224196;226
logistic;16;invscaling;0.7025803144224196;226
logistic;17;adaptive;0.6999316473000684;235
logistic;17;constant;0.6999316473000684;235
logistic;17;invscaling;0.6999316473000684;235
logistic;18;adaptive;0.703879015721121;220
logistic;18;constant;0.703879015721121;220
logistic;18;invscaling;0.703879015721121;220
logistic;19;adaptive;0.7051777170198223;208
logistic;19;constant;0.7051777170198223;208
logistic;19;invscaling;0.7051777170198223;208
logistic;20;adaptive;0.7091079972658921;193
logistic;20;constant;0.7091079972658921;193
logistic;20;invscaling;0.7091079972658921;193
logistic;21;adaptive;0.7038448393711552;223
logistic;21;constant;0.7038448393711552;223
logistic;21;invscaling;0.7038448393711552;223
logistic;22;adaptive;0.7051606288448394;211
logistic;22;constant;0.7051606288448394;211
logistic;22;invscaling;0.7051606288448394;211
logistic;23;adaptive;0.7182843472317156;154
logistic;23;constant;0.7182843472317156;154
logistic;23;invscaling;0.7182843472317156;154
logistic;24;adaptive;0.7064935064935065;205
logistic;24;constant;0.7064935064935065;205
logistic;24;invscaling;0.7064935064935065;205
logistic;25;adaptive;0.7077922077922079;196
logistic;25;constant;0.7077922077922079;196
logistic;25;invscaling;0.7077922077922079;196
tanh;1;adaptive;0.6596548188653453;283
tanh;1;constant;0.6596548188653453;283
tanh;1;invscaling;0.6596548188653453;283
tanh;2;adaptive;0.7092447026657552;190
tanh;2;constant;0.7092447026657552;190
tanh;2;invscaling;0.7092447026657552;190
tanh;3;adaptive;0.6894736842105262;256
tanh;3;constant;0.6894736842105262;256
tanh;3;invscaling;0.6894736842105262;256
tanh;4;adaptive;0.7157382091592617;166
tanh;4;constant;0.7157382091592617;166
tanh;4;invscaling;0.7157382091592617;166
tanh;5;adaptive;0.7104921394395078;184
tanh;5;constant;0.7104921394395078;184
tanh;5;invscaling;0.7104921394395078;184
tanh;6;adaptive;0.7156356801093644;169
tanh;6;constant;0.7156356801093644;169
tanh;6;invscaling;0.7156356801093644;169
tanh;7;adaptive;0.7235987696514012;61
tanh;7;constant;0.7235987696514012;61
tanh;7;invscaling;0.7235987696514012;61
tanh;8;adaptive;0.710457963089542;187
tanh;8;constant;0.710457963089542;187
tanh;8;invscaling;0.710457963089542;187
tanh;9;adaptive;0.720933014354067;124
tanh;9;constant;0.720933014354067;124
tanh;9;invscaling;0.720933014354067;124
tanh;10;adaptive;0.7222488038277513;100
tanh;10;constant;0.7222488038277513;100
tanh;10;invscaling;0.7222488038277513;100
tanh;11;adaptive;0.7274948735475052;25
tanh;11;constant;0.7274948735475052;25
tanh;11;invscaling;0.7274948735475052;25
tanh;12;adaptive;0.72095010252905;109
tanh;12;constant;0.72095010252905;109
tanh;12;invscaling;0.72095010252905;109
tanh;13;adaptive;0.7209330143540671;118
tanh;13;constant;0.7209330143540671;118
tanh;13;invscaling;0.7209330143540671;118
tanh;14;adaptive;0.7248974709501026;55
tanh;14;constant;0.7248974709501026;55
tanh;14;invscaling;0.7248974709501026;55
tanh;15;adaptive;0.7235816814764184;70
tanh;15;constant;0.7235816814764184;70
tanh;15;invscaling;0.7235816814764184;70
tanh;16;adaptive;0.7222829801777171;88
tanh;16;constant;0.7222829801777171;88
tanh;16;invscaling;0.7222829801777171;88
tanh;17;adaptive;0.7261278195488721;49
tanh;17;constant;0.7261278195488721;49
tanh;17;invscaling;0.7261278195488721;49
tanh;18;adaptive;0.7301435406698564;13
tanh;18;constant;0.7301435406698564;13
tanh;18;invscaling;0.7301435406698564;13
tanh;19;adaptive;0.7196172248803828;139
tanh;19;constant;0.7196172248803828;139
tanh;19;invscaling;0.7196172248803828;139
tanh;20;adaptive;0.7209501025290499;115
tanh;20;constant;0.7209501025290499;115
tanh;20;invscaling;0.7209501025290499;115
tanh;21;adaptive;0.7143711551606289;172
tanh;21;constant;0.7143711551606289;172
tanh;21;invscaling;0.7143711551606289;172
tanh;22;adaptive;0.7235645933014354;76
tanh;22;constant;0.7235645933014354;76
tanh;22;invscaling;0.7235645933014354;76
tanh;23;adaptive;0.7131066302118934;178
tanh;23;constant;0.7131066302118934;178
tanh;23;invscaling;0.7131066302118934;178
tanh;24;adaptive;0.7196001367053998;142
tanh;24;constant;0.7196001367053998;142
tanh;24;invscaling;0.7196001367053998;142
tanh;25;adaptive;0.7235816814764183;73
tanh;25;constant;0.7235816814764183;73
tanh;25;invscaling;0.7235816814764183;73
relu;1;adaptive;0.6409090909090909;298
relu;1;constant;0.6409090909090909;298
relu;1;invscaling;0.6409090909090909;298
relu;2;adaptive;0.6566473000683527;289
relu;2;constant;0.6566473000683527;289
relu;2;invscaling;0.6566473000683527;289
relu;3;adaptive;0.6815447710184552;271
relu;3;constant;0.6815447710184552;271
relu;3;invscaling;0.6815447710184552;271
relu;4;adaptive;0.6539986329460014;292
relu;4;constant;0.6539986329460014;292
relu;4;invscaling;0.6539986329460014;292
relu;5;adaptive;0.6828947368421053;262
relu;5;constant;0.6828947368421053;262
relu;5;invscaling;0.6828947368421053;262
relu;6;adaptive;0.737987012987013;4
relu;6;constant;0.737987012987013;4
relu;6;invscaling;0.737987012987013;4
relu;7;adaptive;0.7117395762132603;181
relu;7;constant;0.7117395762132603;181
relu;7;invscaling;0.7117395762132603;181
relu;8;adaptive;0.7169002050580998;160
relu;8;constant;0.7169002050580998;160
relu;8;invscaling;0.7169002050580998;160
relu;9;adaptive;0.7143028024606972;175
relu;9;constant;0.7143028024606972;175
relu;9;invscaling;0.7143028024606972;175
relu;10;adaptive;0.7274265208475735;31
relu;10;constant;0.7274265208475735;31
relu;10;invscaling;0.7274265208475735;31
relu;11;adaptive;0.7248632946001369;58
relu;11;constant;0.7248632946001369;58
relu;11;invscaling;0.7248632946001369;58
relu;12;adaptive;0.7340567327409433;10
relu;12;constant;0.7340567327409433;10
relu;12;invscaling;0.7340567327409433;10
relu;13;adaptive;0.7157552973342447;163
relu;13;constant;0.7157552973342447;163
relu;13;invscaling;0.7157552973342447;163
relu;14;adaptive;0.7222829801777171;88
relu;14;constant;0.7222829801777171;88
relu;14;invscaling;0.7222829801777171;88
relu;15;adaptive;0.7288277511961723;22
relu;15;constant;0.7288277511961723;22
relu;15;invscaling;0.7288277511961723;22
relu;16;adaptive;0.7261449077238551;46
relu;16;constant;0.7261449077238551;46
relu;16;invscaling;0.7261449077238551;46
relu;17;adaptive;0.7274606971975394;28
relu;17;constant;0.7274606971975394;28
relu;17;invscaling;0.7274606971975394;28
relu;18;adaptive;0.7249316473000684;52
relu;18;constant;0.7249316473000684;52
relu;18;invscaling;0.7249316473000684;52
relu;19;adaptive;0.7419002050580998;1
relu;19;constant;0.7419002050580998;1
relu;19;invscaling;0.7419002050580998;1
relu;20;adaptive;0.7208988380041012;127
relu;20;constant;0.7208988380041012;127
relu;20;invscaling;0.7208988380041012;127
relu;21;adaptive;0.7261619958988381;43
relu;21;constant;0.7261619958988381;43
relu;21;invscaling;0.7261619958988381;43
relu;22;adaptive;0.72095010252905;109
relu;22;constant;0.72095010252905;109
relu;22;invscaling;0.72095010252905;109
relu;23;adaptive;0.7235133287764868;85
relu;23;constant;0.7235133287764868;85
relu;23;invscaling;0.7235133287764868;85
relu;24;adaptive;0.7366370471633631;7
relu;24;constant;0.7366370471633631;7
relu;24;invscaling;0.7366370471633631;7
relu;25;adaptive;0.7301264524948735;19
relu;25;constant;0.7301264524948735;19
relu;25;invscaling;0.7301264524948735;19
